
 num     #instances         #bytes  class name
 245:            37           4144  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 246:           128           4096  com.sun.jmx.mbeanserver.ConvertingMethod
 247:           256           4096  java.lang.Byte
 248:           170           4080  java.util.BitSet
 249:           127           4064  com.sun.org.apache.xerces.internal.xni.QName
 250:           127           4064  java.util.logging.LogManager$LogNode
 251:           247           3952  org.springframework.util.LinkedMultiValueMap
 252:           163           3912  java.time.LocalDateTime
 253:           163           3912  org.springframework.cglib.core.MethodWrapper$MethodWrapperKey$$KeyFactoryByCGLIB$$552be97a
 254:            54           3888  java.util.regex.Pattern
 255:            10           3840  org.apache.tomcat.util.threads.TaskThread
 256:            53           3816  sun.reflect.DelegatingClassLoader
 257:           119           3808  java.util.Vector
 258:           118           3776  java.lang.invoke.BoundMethodHandle$Species_L
 259:            94           3760  java.security.ProtectionDomain
 260:           234           3744  sun.reflect.DelegatingMethodAccessorImpl
 261:           156           3744  sun.reflect.generics.tree.FormalTypeParameter
 262:            92           3680  java.math.BigInteger
 263:            38           3648  org.springframework.boot.loader.jar.JarFile
 264:            75           3600  java.util.WeakHashMap
 265:            64           3584  org.apache.tomcat.util.modeler.ManagedBean
 266:            64           3584  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 267:            74           3552  javax.management.MBeanInfo
 268:           146           3504  sun.reflect.annotation.AnnotationParser$1
 269:           144           3456  java.time.LocalDate
 270:           106           3392  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 271:           138           3312  com.sun.beans.WildcardTypeImpl
 272:           137           3288  org.springframework.core.SimpleAliasRegistry$$Lambda$176/1320677379
 273:           136           3264  org.springframework.core.io.ClassPathResource
 274:           135           3240  org.springframework.cglib.core.ReflectUtils$6
 275:           200           3200  org.springframework.boot.autoconfigure.condition.ConditionMessage
 276:           100           3200  sun.misc.URLClassPath$Loader$1
 277:           133           3192  java.time.LocalTime
 278:            35           3136  [Ljava.lang.invoke.MethodHandle;
 279:           195           3120  sun.reflect.generics.tree.TypeVariableSignature
 280:            55           3080  jdk.internal.org.objectweb.asm.AnnotationWriter
 281:           127           3048  javax.management.ObjectName$Property
 282:            95           3040  org.springframework.cglib.proxy.MethodProxy
 283:           126           3024  java.util.Collections$UnmodifiableRandomAccessList
 284:           109           3008  [Ljavax.management.ObjectName$Property;
 285:           187           2992  org.apache.logging.log4j.message.ParameterizedMessageFactory
 286:           121           2904  org.springframework.core.type.classreading.SimpleMetadataReader
 287:            72           2880  java.security.AccessControlContext
 288:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 289:            45           2880  jdk.internal.org.objectweb.asm.FieldWriter
 290:           179           2864  org.springframework.core.SerializableTypeWrapper$TypeProxyInvocationHandler
 291:            71           2840  java.io.ObjectStreamField
 292:            88           2816  java.lang.ThreadLocal$ThreadLocalMap$Entry
 293:           176           2816  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 294:           117           2808  org.springframework.beans.MutablePropertyValues
 295:           116           2784  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$$Lambda$320/1128096251
 296:           115           2760  org.springframework.beans.CachedIntrospectionResults
 297:            86           2752  java.lang.invoke.DirectMethodHandle$Special
 298:           113           2712  java.util.Date
 299:            64           2688  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 300:           112           2688  org.springframework.asm.ByteVector
 301:           112           2688  org.springframework.cglib.core.LocalVariablesSorter$State
 302:           167           2672  org.springframework.core.$Proxy5
 303:           107           2568  java.time.ZoneRegion
 304:            32           2560  org.springframework.beans.BeanWrapperImpl
 305:           135           2536  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
